[CLEANUP] removed 43 existing image files from rollout_outputs\episode_000001
[DEBUG] current ee from get_ee_pose = (0.00, 14.74, 9.44) cm
[DEBUG] IK(current ee) = [-0.002687362869719087, -10.001873547968852, -140.00075588457761, 60.002629432546456]
[SCENE] instruction='grasp the blue cylinder' | target_color='blue' | target_xy=(0.076, 0.232) | objects={'red': {'body_name': 'target_object', 'xy': [-0.050859323590297434, 0.18242776161896268], 'yaw': -0.06543029476111506}, 'blue': {'body_name': 'target_object_blue', 'xy': [0.07597137984537713, 0.2324233775929463], 'yaw': -0.5546711094697813}, 'green': {'body_name': 'target_object_green', 'xy': [0.002377650100147538, 0.24487300914872956], 'yaw': -0.01339765180120045}, 'yellow': {'body_name': 'target_object_yellow', 'xy': [0.023637190443957318, 0.19882081586789127], 'yaw': -0.5116409431825885}}
[042] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0259, 0.1939, 0.041] | gripper=0.0 | retries=0
[043] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0258, 0.1935, 0.0405] | gripper=0.0 | retries=0
[044] OK | final_delta=[-0.0005, 0.0014, 0.0] | move=[-0.0005, 0.0014, 0.0] | target=[-0.0263, 0.1947, 0.0399] | gripper=0.0 | retries=0
[045] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0263, 0.1942, 0.0393] | gripper=0.0 | retries=0
[046] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0262, 0.1939, 0.0388] | gripper=0.0 | retries=0
[047] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0262, 0.1935, 0.0382] | gripper=0.0 | retries=0
[048] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0261, 0.1932, 0.0376] | gripper=0.0 | retries=0
[049] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0261, 0.1929, 0.037] | gripper=0.0 | retries=0
[050] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.026, 0.1925, 0.0365] | gripper=0.0 | retries=0
[051] OK | final_delta=[-0.0005, 0.0014, 0.0002] | move=[-0.0005, 0.0014, 0.0002] | target=[-0.0265, 0.1936, 0.0361] | gripper=0.0 | retries=0
[052] OK | final_delta=[-0.0005, 0.0028, 0.0] | move=[-0.0005, 0.0028, 0.0] | target=[-0.027, 0.196, 0.0355] | gripper=0.0 | retries=0
[053] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0269, 0.1954, 0.0349] | gripper=1.0 | retries=0
[054] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0269, 0.195, 0.0344] | gripper=1.0 | retries=0
[055] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0268, 0.1946, 0.0338] | gripper=1.0 | retries=0

[STOP] interrupted by user
